PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
26857866,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26798032,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26785224,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26750250,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26513594,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26202243,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26201298,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26200980,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
26112146,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
25722412,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
25695153,,,,,,,,,,,,0.5,,Tier 3: chemical_class,,,
